count 	 data 	 target 	 output 
99	tensor([0.0000, 0.0242, 0.0065])	tensor([0.])	tensor([0.])
100	tensor([0.0000, 0.1008, 0.0196])	tensor([0.])	tensor([0.])
101	tensor([0.0101, 0.3565, 0.0187])	tensor([1.])	tensor([1.])
102	tensor([0.0657, 0.7248, 0.2275])	tensor([1.])	tensor([1.])
103	tensor([0.0423, 0.6362, 0.0355])	tensor([0.])	tensor([1.])
104	tensor([0.0248, 0.6853, 0.2147])	tensor([1.])	tensor([1.])
105	tensor([0.0000, 0.0168, 0.0032])	tensor([0.])	tensor([0.])
106	tensor([0.0000, 0.0237, 0.0592])	tensor([0.])	tensor([0.])
107	tensor([0.0182, 0.6951, 0.1394])	tensor([1.])	tensor([1.])
108	tensor([0.0301, 0.4408, 0.0196])	tensor([1.])	tensor([1.])
109	tensor([0.0044, 0.3912, 0.0333])	tensor([1.])	tensor([1.])
110	tensor([0.0833, 0.8034, 0.1394])	tensor([1.])	tensor([1.])
111	tensor([0.0034, 0.5640, 0.0110])	tensor([1.])	tensor([1.])
112	tensor([0.0385, 0.7150, 0.0355])	tensor([0.])	tensor([1.])
113	tensor([0.0000, 0.0028, 0.0040])	tensor([0.])	tensor([0.])
114	tensor([0.0034, 0.4611, 0.0050])	tensor([1.])	tensor([1.])
115	tensor([0.0085, 0.2479, 0.0079])	tensor([1.])	tensor([1.])
116	tensor([0.0117, 0.3475, 0.0014])	tensor([1.])	tensor([1.])
117	tensor([0.0585, 0.4733, 0.2275])	tensor([1.])	tensor([1.])
118	tensor([0.0000, 0.0034, 0.1394])	tensor([0.])	tensor([0.])
119	tensor([0.0619, 0.5857, 0.2275])	tensor([1.])	tensor([1.])
120	tensor([0.0495, 0.7157, 0.0577])	tensor([1.])	tensor([1.])
121	tensor([0.0000, 0.1351, 0.0018])	tensor([1.])	tensor([0.])
122	tensor([0.0000, 0.0141, 0.0196])	tensor([0.])	tensor([0.])
123	tensor([0.0000, 0.0236, 0.2275])	tensor([0.])	tensor([0.])
124	tensor([0.0000, 0.0253, 0.0577])	tensor([0.])	tensor([0.])
125	tensor([0., 0., 0.])	tensor([0.])	tensor([0.])
126	tensor([0.0000, 0.0008, 0.0007])	tensor([0.])	tensor([0.])
127	tensor([0.0000, 0.0311, 0.0355])	tensor([1.])	tensor([0.])
128	tensor([0.0853, 0.6953, 0.2275])	tensor([1.])	tensor([1.])
129	tensor([0.0000, 0.0070, 0.0196])	tensor([0.])	tensor([0.])
130	tensor([0.0000, 0.0036, 0.0187])	tensor([0.])	tensor([0.])
131	tensor([0.0032, 0.0424, 0.2147])	tensor([1.])	tensor([1.])
132	tensor([0.0000, 0.0338, 0.0196])	tensor([0.])	tensor([0.])
133	tensor([0.0435, 0.0915, 0.2147])	tensor([1.])	tensor([1.])
134	tensor([0.0000, 0.0046, 0.0057])	tensor([0.])	tensor([0.])
135	tensor([0.0000, 0.1074, 0.2275])	tensor([0.])	tensor([0.])
136	tensor([0.0619, 0.5374, 0.0355])	tensor([1.])	tensor([1.])
137	tensor([0.0196, 0.7099, 0.0187])	tensor([1.])	tensor([1.])
138	tensor([0.0103, 0.1288, 0.0016])	tensor([1.])	tensor([1.])
139	tensor([0.0240, 0.6759, 0.0196])	tensor([1.])	tensor([1.])
140	tensor([0.0000, 0.0458, 0.2147])	tensor([0.])	tensor([0.])
141	tensor([0.0000, 0.0014, 0.0333])	tensor([0.])	tensor([0.])
142	tensor([0.0047, 0.1098, 0.0016])	tensor([1.])	tensor([1.])
143	tensor([0.0053, 0.1802, 0.0355])	tensor([1.])	tensor([1.])
144	tensor([0.0000, 0.0860, 0.0005])	tensor([0.])	tensor([0.])
145	tensor([0.0388, 0.2571, 0.2147])	tensor([1.])	tensor([1.])
146	tensor([0.0048, 0.4936, 0.0187])	tensor([1.])	tensor([1.])
147	tensor([0.0000, 0.0245, 0.0032])	tensor([0.])	tensor([0.])
148	tensor([0.0116, 0.5702, 0.2275])	tensor([1.])	tensor([1.])
149	tensor([0.0135, 0.1252, 0.2147])	tensor([1.])	tensor([1.])
150	tensor([0.0000, 0.0097, 0.0110])	tensor([0.])	tensor([0.])
151	tensor([0.0701, 0.4684, 0.2147])	tensor([1.])	tensor([1.])
152	tensor([0.0000, 0.0055, 0.2147])	tensor([0.])	tensor([0.])
153	tensor([0.0057, 0.3215, 0.0187])	tensor([1.])	tensor([1.])
154	tensor([0.0021, 0.0277, 0.2147])	tensor([1.])	tensor([1.])
155	tensor([0.0000, 0.0102, 0.2275])	tensor([0.])	tensor([0.])
156	tensor([0.0000, 0.0410, 0.0333])	tensor([0.])	tensor([0.])
157	tensor([0.0261, 0.1910, 0.0592])	tensor([1.])	tensor([1.])
158	tensor([0.0000, 0.0590, 0.0196])	tensor([0.])	tensor([0.])
159	tensor([0.0000e+00, 2.1146e-02, 3.2181e-05])	tensor([0.])	tensor([0.])
160	tensor([0.0000, 0.0012, 0.0187])	tensor([0.])	tensor([0.])
161	tensor([0.0000, 0.1787, 0.2147])	tensor([0.])	tensor([1.])
162	tensor([0.0000, 0.0153, 0.0187])	tensor([0.])	tensor([0.])
163	tensor([0.0000, 0.0000, 0.0016])	tensor([0.])	tensor([0.])
164	tensor([0.0861, 0.7334, 0.2147])	tensor([1.])	tensor([1.])
165	tensor([0.0000, 0.0081, 0.0333])	tensor([0.])	tensor([0.])
166	tensor([0.0063, 0.1071, 0.2275])	tensor([0.])	tensor([1.])
167	tensor([0.0000, 0.1659, 0.2147])	tensor([0.])	tensor([1.])
168	tensor([0.0185, 0.1918, 0.0050])	tensor([1.])	tensor([1.])
169	tensor([0.0000, 0.0348, 0.0042])	tensor([0.])	tensor([0.])
170	tensor([0.0000, 0.0692, 0.0015])	tensor([0.])	tensor([0.])
171	tensor([0.0000, 0.0335, 0.0003])	tensor([0.])	tensor([0.])
172	tensor([0.0000, 0.0173, 0.0196])	tensor([0.])	tensor([0.])
173	tensor([0.0040, 0.1399, 0.0021])	tensor([1.])	tensor([1.])
174	tensor([0.0013, 0.3323, 0.0050])	tensor([1.])	tensor([1.])
175	tensor([0.0058, 0.3699, 0.2147])	tensor([1.])	tensor([1.])
176	tensor([0.0000, 0.0035, 0.0057])	tensor([0.])	tensor([0.])
177	tensor([0.0066, 0.5828, 0.1394])	tensor([1.])	tensor([1.])
178	tensor([0.0301, 0.6673, 0.2275])	tensor([1.])	tensor([1.])
179	tensor([0.0182, 0.7925, 0.1394])	tensor([0.])	tensor([1.])
180	tensor([0.0000e+00, 8.5465e-02, 8.0452e-06])	tensor([0.])	tensor([0.])
181	tensor([0.0000, 0.0183, 0.0187])	tensor([0.])	tensor([0.])
182	tensor([0.0000e+00, 1.4329e-03, 2.0113e-05])	tensor([0.])	tensor([0.])
183	tensor([0.0000, 0.0408, 0.0042])	tensor([0.])	tensor([0.])
184	tensor([0.0000, 0.1126, 0.0043])	tensor([0.])	tensor([0.])
185	tensor([0.0000, 0.0279, 0.2275])	tensor([0.])	tensor([0.])
186	tensor([0.0020, 0.0155, 0.2147])	tensor([1.])	tensor([1.])
187	tensor([0.0000, 0.0007, 0.0577])	tensor([0.])	tensor([0.])
188	tensor([0.0255, 0.0963, 0.2147])	tensor([1.])	tensor([1.])
189	tensor([0.0040, 0.0926, 0.2275])	tensor([1.])	tensor([1.])
190	tensor([0.0000, 0.0480, 0.0355])	tensor([0.])	tensor([0.])
191	tensor([0.0722, 0.7512, 0.2275])	tensor([1.])	tensor([1.])
192	tensor([0.0000, 0.0015, 0.2147])	tensor([0.])	tensor([0.])
193	tensor([0.0000, 0.0000, 0.0333])	tensor([0.])	tensor([0.])
194	tensor([0.0071, 0.5608, 0.0577])	tensor([0.])	tensor([1.])
195	tensor([0.0556, 0.7159, 0.0038])	tensor([1.])	tensor([1.])
196	tensor([0.0179, 0.1289, 0.2147])	tensor([1.])	tensor([1.])
197	tensor([0.1667, 0.4452, 0.0196])	tensor([0.])	tensor([1.])
198	tensor([0.0000, 0.0061, 0.0018])	tensor([1.])	tensor([0.])
199	tensor([0.0086, 0.1272, 0.2147])	tensor([1.])	tensor([1.])
200	tensor([0.0000, 0.2467, 0.0187])	tensor([1.])	tensor([1.])
201	tensor([0.0701, 0.4350, 0.2275])	tensor([1.])	tensor([1.])
202	tensor([0.0000e+00, 2.9483e-02, 9.6543e-05])	tensor([0.])	tensor([0.])
203	tensor([0.0000, 0.1092, 0.0196])	tensor([0.])	tensor([0.])
204	tensor([0.0046, 0.1411, 0.0592])	tensor([1.])	tensor([1.])
205	tensor([0.0452, 0.3717, 0.2275])	tensor([1.])	tensor([1.])
206	tensor([0.0000, 0.0378, 0.0000])	tensor([0.])	tensor([0.])
207	tensor([0.0313, 0.5606, 0.0355])	tensor([1.])	tensor([1.])
208	tensor([0.0055, 0.3680, 0.0187])	tensor([1.])	tensor([1.])
209	tensor([0.0215, 0.4389, 0.2275])	tensor([1.])	tensor([1.])
210	tensor([0.0000, 0.0133, 0.0592])	tensor([0.])	tensor([0.])
211	tensor([0.0000, 0.0012, 0.2147])	tensor([0.])	tensor([0.])
212	tensor([0.0000, 0.0006, 0.0027])	tensor([0.])	tensor([0.])
213	tensor([0.0000, 0.0322, 0.2147])	tensor([0.])	tensor([0.])
214	tensor([0.0000, 0.0110, 0.2147])	tensor([0.])	tensor([0.])
215	tensor([0.0000e+00, 3.9673e-03, 4.4249e-05])	tensor([0.])	tensor([0.])
216	tensor([0.0000, 0.0000, 0.0021])	tensor([0.])	tensor([0.])
217	tensor([0.0832, 0.7260, 0.2275])	tensor([1.])	tensor([1.])
218	tensor([0.0442, 0.6727, 0.1394])	tensor([1.])	tensor([1.])
219	tensor([0.0000, 0.0508, 0.0010])	tensor([0.])	tensor([0.])
220	tensor([0.0000, 0.0053, 0.0040])	tensor([0.])	tensor([0.])
221	tensor([0.0000, 0.0830, 0.0355])	tensor([0.])	tensor([0.])
222	tensor([0.0464, 0.4358, 0.2275])	tensor([1.])	tensor([1.])
223	tensor([0.0045, 0.2841, 0.2275])	tensor([1.])	tensor([1.])
224	tensor([0.0000, 0.0506, 0.0333])	tensor([0.])	tensor([0.])
225	tensor([0.0358, 0.3913, 0.1394])	tensor([1.])	tensor([1.])
226	tensor([0.0224, 0.2385, 0.0004])	tensor([1.])	tensor([1.])
227	tensor([0.0000, 0.0013, 0.0577])	tensor([0.])	tensor([0.])
228	tensor([0., 0., 0.])	tensor([0.])	tensor([0.])
229	tensor([0.0000, 0.0088, 0.0036])	tensor([0.])	tensor([0.])
230	tensor([0.0230, 0.2134, 0.0592])	tensor([1.])	tensor([1.])
231	tensor([0.0000, 0.0446, 0.0592])	tensor([0.])	tensor([0.])
232	tensor([0.0000e+00, 7.9548e-05, 5.6880e-03])	tensor([0.])	tensor([0.])
233	tensor([0.0038, 0.3597, 0.0577])	tensor([1.])	tensor([1.])
234	tensor([0.0000, 0.0000, 0.0187])	tensor([0.])	tensor([0.])
235	tensor([0.0030, 0.5337, 0.0355])	tensor([1.])	tensor([1.])
236	tensor([0.0000, 0.0003, 0.0020])	tensor([0.])	tensor([0.])
237	tensor([0.0419, 0.6886, 0.2275])	tensor([1.])	tensor([1.])
238	tensor([0.0011, 0.3079, 0.1394])	tensor([1.])	tensor([1.])
239	tensor([0.0000, 0.0249, 0.0036])	tensor([0.])	tensor([0.])
240	tensor([0.0000, 0.0002, 0.0007])	tensor([0.])	tensor([0.])
241	tensor([0.0000, 0.0399, 0.1394])	tensor([0.])	tensor([0.])
242	tensor([0.0000, 0.0081, 0.0592])	tensor([1.])	tensor([0.])
243	tensor([0.0000, 0.0000, 0.1394])	tensor([0.])	tensor([0.])
244	tensor([0.0204, 0.0994, 0.2147])	tensor([1.])	tensor([1.])
245	tensor([0.0000, 0.0319, 0.0577])	tensor([0.])	tensor([0.])
246	tensor([0.0282, 0.2101, 0.0036])	tensor([1.])	tensor([1.])
247	tensor([0.0106, 0.6069, 0.0187])	tensor([0.])	tensor([1.])
248	tensor([0.0000, 0.0035, 0.0018])	tensor([0.])	tensor([0.])
249	tensor([0.0359, 0.6980, 0.0592])	tensor([1.])	tensor([1.])
250	tensor([0.0000, 0.0000, 0.2147])	tensor([0.])	tensor([0.])
251	tensor([2.6316e-02, 1.8585e-01, 1.6090e-04])	tensor([1.])	tensor([1.])
252	tensor([0.0000, 0.0343, 0.0592])	tensor([0.])	tensor([0.])
253	tensor([0.0000, 0.0882, 0.0032])	tensor([0.])	tensor([0.])
254	tensor([0.0126, 0.6846, 0.0577])	tensor([1.])	tensor([1.])
255	tensor([0.0000, 0.0312, 0.2275])	tensor([0.])	tensor([0.])
256	tensor([0.0000, 0.0051, 0.2147])	tensor([0.])	tensor([0.])
257	tensor([0.0000, 0.0210, 0.2147])	tensor([0.])	tensor([0.])
258	tensor([0.0370, 0.6288, 0.0050])	tensor([1.])	tensor([1.])
259	tensor([0.0405, 0.7571, 0.2275])	tensor([1.])	tensor([1.])
260	tensor([0.0408, 0.6176, 0.2147])	tensor([1.])	tensor([1.])
261	tensor([0.0167, 0.6273, 0.2147])	tensor([1.])	tensor([1.])
262	tensor([0.0000, 0.0147, 0.0057])	tensor([0.])	tensor([0.])
263	tensor([0.0214, 0.3845, 0.2275])	tensor([1.])	tensor([1.])
264	tensor([0.0746, 0.7005, 0.2275])	tensor([1.])	tensor([1.])
265	tensor([0.0000, 0.0000, 0.0333])	tensor([0.])	tensor([0.])
266	tensor([0.0051, 0.1351, 0.0355])	tensor([1.])	tensor([1.])
267	tensor([0.0215, 0.0490, 0.2147])	tensor([1.])	tensor([1.])
268	tensor([0.0086, 0.6134, 0.1394])	tensor([0.])	tensor([1.])
269	tensor([0.0040, 0.0137, 0.2147])	tensor([1.])	tensor([1.])
270	tensor([0.0115, 0.5522, 0.0333])	tensor([1.])	tensor([1.])
271	tensor([0.0000, 0.0311, 0.0042])	tensor([0.])	tensor([0.])
272	tensor([0.0000, 0.1646, 0.0018])	tensor([0.])	tensor([0.])
273	tensor([0.0000, 0.0098, 0.0001])	tensor([0.])	tensor([0.])
274	tensor([0.0000, 0.0021, 0.0187])	tensor([0.])	tensor([0.])
275	tensor([0.0000, 0.0000, 0.0030])	tensor([0.])	tensor([0.])
276	tensor([0., 0., 0.])	tensor([0.])	tensor([0.])
277	tensor([0.0000, 0.0022, 0.0025])	tensor([0.])	tensor([0.])
278	tensor([0.0000, 0.1065, 0.0355])	tensor([0.])	tensor([0.])
279	tensor([0.0000, 0.0038, 0.0187])	tensor([0.])	tensor([0.])
280	tensor([0.0000, 0.0713, 0.0333])	tensor([0.])	tensor([0.])
281	tensor([0.0000e+00, 2.9842e-02, 1.6090e-05])	tensor([0.])	tensor([0.])
282	tensor([0.0000, 0.0231, 0.2275])	tensor([0.])	tensor([0.])
283	tensor([0.0000, 0.0133, 0.0016])	tensor([0.])	tensor([0.])
284	tensor([0.0000, 0.0014, 0.2147])	tensor([0.])	tensor([0.])
285	tensor([0.0122, 0.1830, 0.0592])	tensor([1.])	tensor([1.])
286	tensor([0.0000, 0.0005, 0.0592])	tensor([0.])	tensor([0.])
287	tensor([0.0000, 0.2097, 0.0187])	tensor([0.])	tensor([0.])
288	tensor([0.0217, 0.5331, 0.2275])	tensor([1.])	tensor([1.])
289	tensor([0.0058, 0.5762, 0.1394])	tensor([1.])	tensor([1.])
290	tensor([0.0208, 0.2215, 0.2147])	tensor([1.])	tensor([1.])
291	tensor([0.0716, 0.7522, 0.2147])	tensor([1.])	tensor([1.])
292	tensor([0.0000, 0.0084, 0.2147])	tensor([0.])	tensor([0.])
293	tensor([0.0000, 0.0578, 0.0038])	tensor([0.])	tensor([0.])
294	tensor([0.0000, 0.1035, 0.2147])	tensor([0.])	tensor([0.])
295	tensor([0., 0., 0.])	tensor([0.])	tensor([0.])
296	tensor([0.0000, 0.0006, 0.0005])	tensor([0.])	tensor([0.])
297	tensor([0.0000, 0.0132, 0.0030])	tensor([1.])	tensor([0.])
298	tensor([0.0000, 0.0133, 0.0577])	tensor([0.])	tensor([0.])
299	tensor([0.0000, 0.0301, 0.1394])	tensor([0.])	tensor([0.])
300	tensor([0.0117, 0.1312, 0.0187])	tensor([1.])	tensor([1.])
301	tensor([0.0299, 0.3086, 0.0187])	tensor([1.])	tensor([1.])
302	tensor([0.0000, 0.0064, 0.0057])	tensor([0.])	tensor([0.])
303	tensor([0.0010, 0.1603, 0.0355])	tensor([1.])	tensor([1.])
304	tensor([0.0000, 0.1876, 0.2147])	tensor([1.])	tensor([1.])
305	tensor([0.0169, 0.0907, 0.2147])	tensor([1.])	tensor([1.])
306	tensor([0.0000, 0.0232, 0.2275])	tensor([0.])	tensor([0.])
307	tensor([0.1429, 0.8253, 0.0040])	tensor([0.])	tensor([0.])
308	tensor([0.0639, 0.4763, 0.2275])	tensor([1.])	tensor([1.])
309	tensor([0.0000, 0.0070, 0.0333])	tensor([0.])	tensor([0.])
310	tensor([0.0154, 0.6421, 0.0196])	tensor([1.])	tensor([1.])
311	tensor([0.0131, 0.3369, 0.1394])	tensor([1.])	tensor([1.])
312	tensor([0.0357, 0.7527, 0.1394])	tensor([1.])	tensor([1.])
313	tensor([0.0497, 0.4366, 0.2275])	tensor([1.])	tensor([1.])
314	tensor([0.0000, 0.0680, 0.0577])	tensor([1.])	tensor([0.])
315	tensor([0.0369, 0.5391, 0.0333])	tensor([1.])	tensor([1.])
316	tensor([0.0308, 0.1446, 0.2275])	tensor([1.])	tensor([1.])
317	tensor([0.0353, 0.4602, 0.0577])	tensor([1.])	tensor([1.])
318	tensor([0.0000, 0.0201, 0.0592])	tensor([0.])	tensor([0.])
319	tensor([0.0000, 0.0143, 0.0196])	tensor([0.])	tensor([0.])
320	tensor([0.0408, 0.3293, 0.2147])	tensor([1.])	tensor([1.])
321	tensor([0.0109, 0.2440, 0.0038])	tensor([1.])	tensor([1.])
322	tensor([0.0359, 0.4315, 0.0577])	tensor([1.])	tensor([1.])
323	tensor([0.0000, 0.0014, 0.0196])	tensor([0.])	tensor([0.])
324	tensor([0.0000, 0.0068, 0.0033])	tensor([0.])	tensor([0.])
325	tensor([0.0263, 0.7750, 0.2147])	tensor([1.])	tensor([1.])
326	tensor([0.0000, 0.0000, 0.0577])	tensor([0.])	tensor([0.])
327	tensor([0.0000, 0.0064, 0.1394])	tensor([0.])	tensor([0.])
328	tensor([0.0625, 0.6422, 0.2275])	tensor([1.])	tensor([1.])
329	tensor([0.0000, 0.0654, 0.2275])	tensor([0.])	tensor([0.])
330	tensor([0.0000, 0.0019, 0.0187])	tensor([0.])	tensor([0.])
331	tensor([0.0000, 0.0036, 0.0079])	tensor([0.])	tensor([0.])
332	tensor([0.0101, 0.1951, 0.2147])	tensor([1.])	tensor([1.])
333	tensor([0.0000, 0.0124, 0.0079])	tensor([0.])	tensor([0.])
334	tensor([2.9412e-02, 2.5941e-01, 2.0918e-04])	tensor([0.])	tensor([1.])
335	tensor([0.0294, 0.9138, 0.1394])	tensor([1.])	tensor([1.])
336	tensor([0.0156, 0.2643, 0.0592])	tensor([1.])	tensor([1.])
337	tensor([0.0180, 0.2209, 0.2147])	tensor([1.])	tensor([1.])
338	tensor([0.0507, 0.6724, 0.2275])	tensor([1.])	tensor([1.])
339	tensor([0.0000, 0.0723, 0.0592])	tensor([1.])	tensor([0.])
340	tensor([0.0000, 0.0000, 0.0013])	tensor([0.])	tensor([0.])
341	tensor([0.0000, 0.0601, 0.0043])	tensor([0.])	tensor([0.])
342	tensor([0.0000, 0.0000, 0.0007])	tensor([0.])	tensor([0.])
343	tensor([0.0000, 0.0026, 0.0196])	tensor([0.])	tensor([0.])
344	tensor([0.0000, 0.0292, 0.0032])	tensor([0.])	tensor([0.])
345	tensor([0.0000, 0.0000, 0.2147])	tensor([0.])	tensor([0.])
346	tensor([0.0018, 0.3557, 0.0355])	tensor([1.])	tensor([1.])
